"country_short","season","week","season_week","date","value"
"DK","2021/2022",1,1,NA,NA
"DK","2021/2022",2,2,NA,NA
"DK","2021/2022",3,3,NA,NA
"DK","2021/2022",4,4,2021-08-25,NA
"DK","2021/2022",5,5,NA,NA
"DK","2021/2022",6,6,2021-09-08,0
"DK","2021/2022",7,7,2021-09-15,NA
"DK","2021/2022",8,8,2021-09-22,0
"DK","2021/2022",9,9,2021-09-29,NA
"DK","2021/2022",10,10,2021-10-06,0
"DK","2021/2022",11,11,2021-10-13,5.74210526315789
"DK","2021/2022",12,12,2021-10-20,0
"DK","2021/2022",13,13,2021-10-27,0
"DK","2021/2022",14,14,2021-11-03,0
"DK","2021/2022",15,15,2021-11-10,0
"DK","2021/2022",16,16,2021-11-17,0
"DK","2021/2022",17,17,2021-11-24,0
"DK","2021/2022",18,18,2021-12-01,1.6785046728972
"DK","2021/2022",19,19,2021-12-08,0
"DK","2021/2022",20,20,2021-12-15,0
"DK","2021/2022",21,21,2021-12-22,3.26285714285714
"DK","2021/2022",22,22,2021-12-29,2.89761904761905
"DK","2021/2022",23,23,2022-01-05,0
"DK","2021/2022",24,24,2022-01-12,1.83469387755102
"DK","2021/2022",25,25,2022-01-19,3.82
"DK","2021/2022",26,26,2022-01-26,3.40888888888889
"DK","2021/2022",27,27,2022-02-02,1.83589743589744
"DK","2021/2022",28,28,2022-02-09,2.61304347826087
"DK","2021/2022",29,29,2022-02-16,5.84285714285714
"DK","2021/2022",30,30,2022-02-23,18.0869565217391
"DK","2021/2022",31,31,2022-03-02,53.8871794871795
"DK","2021/2022",32,32,2022-03-09,79.2341463414634
"DK","2021/2022",33,33,2022-03-16,108.332571428571
"DK","2021/2022",34,34,2022-03-23,110.863945578231
"DK","2021/2022",35,35,2022-03-30,79.7270588235294
"DK","2021/2022",36,36,2022-04-06,78.642774566474
"DK","2021/2022",37,37,2022-04-13,55.4222222222222
"DK","2021/2022",38,38,2022-04-20,30.796875
"DK","2021/2022",39,39,2022-04-27,19.14
"DK","2021/2022",40,40,2022-05-04,8.1025641025641
"DK","2021/2022",41,41,2022-05-11,4.29090909090909
"DK","2021/2022",42,42,2022-05-18,3.72962962962963
"DK","2021/2022",43,43,2022-05-25,2.916
"DK","2021/2022",44,44,2022-06-01,0
"DK","2021/2022",45,45,2022-06-08,1.3702479338843
"DK","2021/2022",46,46,2022-06-15,0.663934426229508
"DK","2021/2022",47,47,2022-06-22,0.956122448979592
"DK","2021/2022",48,48,2022-06-29,0
"DK","2021/2022",49,49,2022-07-06,1.012
"DK","2021/2022",50,50,2022-07-13,2.40493827160494
"DK","2021/2022",51,51,2022-07-20,0
"DK","2021/2022",52,52,2022-07-27,1.60634920634921
"DK","2022/2023",1,1,2022-08-03,0
"DK","2022/2023",2,2,2022-08-10,6.2972972972973
"DK","2022/2023",3,3,2022-08-17,0
