hub,indicator,origin_date,n_models,has_ensemble,has_baseline,models_max_locations,ensemble_locations,season,n_published
syndromic,ARI incidence,2024-10-23,9,TRUE,TRUE,14,16,2024/25,10
syndromic,ARI incidence,2024-10-30,5,TRUE,TRUE,15,15,2024/25,6
syndromic,ARI incidence,2024-11-06,4,TRUE,TRUE,12,16,2024/25,5
syndromic,ARI incidence,2024-11-13,6,TRUE,TRUE,17,17,2024/25,7
syndromic,ARI incidence,2024-11-20,8,TRUE,TRUE,18,19,2024/25,9
syndromic,ARI incidence,2024-11-27,8,TRUE,TRUE,18,19,2024/25,9
syndromic,ARI incidence,2024-12-04,9,TRUE,TRUE,19,19,2024/25,10
syndromic,ARI incidence,2024-12-11,9,TRUE,TRUE,19,19,2024/25,10
syndromic,ARI incidence,2024-12-18,8,TRUE,TRUE,18,19,2024/25,9
syndromic,ARI incidence,2024-12-25,8,TRUE,TRUE,18,18,2024/25,9
syndromic,ARI incidence,2025-01-01,5,TRUE,TRUE,18,18,2024/25,6
syndromic,ARI incidence,2025-01-08,9,TRUE,TRUE,20,19,2024/25,10
syndromic,ARI incidence,2025-01-15,7,TRUE,TRUE,19,18,2024/25,8
syndromic,ARI incidence,2025-01-22,8,TRUE,TRUE,17,18,2024/25,9
syndromic,ARI incidence,2025-01-29,9,TRUE,TRUE,18,18,2024/25,10
syndromic,ARI incidence,2025-02-05,8,TRUE,TRUE,19,19,2024/25,9
syndromic,ARI incidence,2025-02-12,8,TRUE,TRUE,19,19,2024/25,9
syndromic,ARI incidence,2025-02-19,8,TRUE,TRUE,19,19,2024/25,9
syndromic,ARI incidence,2025-02-26,9,TRUE,TRUE,19,19,2024/25,10
syndromic,ARI incidence,2025-03-05,8,TRUE,TRUE,16,16,2024/25,9
syndromic,ARI incidence,2025-03-12,6,TRUE,TRUE,16,16,2024/25,7
syndromic,ARI incidence,2025-03-19,7,TRUE,TRUE,16,16,2024/25,8
syndromic,ARI incidence,2025-03-26,8,TRUE,TRUE,16,19,2024/25,9
syndromic,ARI incidence,2025-04-02,7,TRUE,TRUE,16,16,2024/25,8
syndromic,ARI incidence,2025-04-09,7,TRUE,TRUE,16,16,2024/25,8
syndromic,ARI incidence,2025-04-16,7,TRUE,TRUE,16,16,2024/25,8
syndromic,ARI incidence,2025-04-23,3,TRUE,TRUE,16,16,2024/25,4
syndromic,ARI incidence,2025-04-30,4,TRUE,TRUE,16,16,2024/25,5
syndromic,ARI incidence,2025-05-07,4,TRUE,TRUE,16,16,2024/25,5
syndromic,ARI incidence,2025-05-14,4,TRUE,TRUE,16,16,2024/25,5
syndromic,ARI incidence,2025-05-21,4,TRUE,TRUE,15,16,2024/25,5
syndromic,ARI incidence,2025-05-28,4,TRUE,TRUE,15,16,2024/25,5
syndromic,ARI incidence,2025-06-04,3,TRUE,TRUE,15,16,2024/25,4
syndromic,ARI incidence,2025-06-11,5,TRUE,TRUE,15,17,2024/25,6
syndromic,ARI incidence,2025-06-18,4,TRUE,TRUE,15,15,2024/25,5
syndromic,ARI incidence,2025-06-25,5,TRUE,TRUE,15,16,2024/25,6
syndromic,ARI incidence,2025-07-02,5,TRUE,TRUE,13,16,2024/25,6
syndromic,ARI incidence,2025-07-09,4,TRUE,TRUE,13,13,2024/25,5
syndromic,ARI incidence,2025-07-16,5,TRUE,TRUE,15,16,2024/25,6
syndromic,ARI incidence,2025-07-23,5,TRUE,TRUE,15,17,2024/25,6
syndromic,ARI incidence,2025-07-30,5,TRUE,TRUE,15,16,2024/25,6
syndromic,ARI incidence,2025-08-06,5,TRUE,TRUE,15,16,2025/26,6
syndromic,ARI incidence,2025-08-13,5,TRUE,TRUE,15,16,2025/26,6
syndromic,ARI incidence,2025-08-20,5,TRUE,TRUE,15,17,2025/26,6
syndromic,ARI incidence,2025-08-27,4,TRUE,TRUE,13,13,2025/26,5
syndromic,ARI incidence,2025-09-03,5,TRUE,TRUE,15,17,2025/26,6
syndromic,ARI incidence,2025-09-10,5,TRUE,TRUE,15,17,2025/26,6
syndromic,ARI incidence,2025-09-17,5,TRUE,TRUE,15,17,2025/26,6
syndromic,ARI incidence,2025-09-24,5,TRUE,TRUE,15,17,2025/26,6
syndromic,ARI incidence,2025-10-01,4,TRUE,TRUE,15,17,2025/26,5
syndromic,ARI incidence,2025-10-08,9,TRUE,TRUE,15,17,2025/26,10
syndromic,ARI incidence,2025-10-15,8,TRUE,TRUE,15,15,2025/26,9
syndromic,ARI incidence,2025-10-22,9,TRUE,TRUE,17,17,2025/26,10
syndromic,ARI incidence,2025-10-29,9,TRUE,TRUE,17,17,2025/26,10
syndromic,ARI incidence,2025-11-05,9,TRUE,TRUE,17,17,2025/26,10
syndromic,ARI incidence,2025-11-12,9,TRUE,TRUE,20,20,2025/26,10
syndromic,ARI incidence,2025-11-19,9,TRUE,TRUE,19,21,2025/26,10
syndromic,ARI incidence,2025-11-26,9,TRUE,TRUE,19,20,2025/26,10
syndromic,ARI incidence,2025-12-03,11,TRUE,TRUE,21,22,2025/26,12
syndromic,ARI incidence,2025-12-10,12,TRUE,TRUE,21,22,2025/26,13
syndromic,ARI incidence,2025-12-17,11,TRUE,TRUE,21,22,2025/26,12
syndromic,ARI incidence,2025-12-24,6,TRUE,TRUE,21,22,2025/26,7
syndromic,ARI incidence,2025-12-31,4,TRUE,TRUE,20,21,2025/26,5
syndromic,ARI incidence,2026-01-07,3,TRUE,TRUE,19,20,2025/26,4
syndromic,ARI incidence,2026-01-14,8,TRUE,TRUE,21,21,2025/26,9
syndromic,ARI incidence,2026-01-21,10,TRUE,TRUE,21,21,2025/26,11
syndromic,ARI incidence,2026-01-28,8,TRUE,TRUE,21,22,2025/26,9
syndromic,ARI incidence,2026-02-04,9,TRUE,TRUE,21,21,2025/26,10
syndromic,ARI incidence,2026-02-11,14,TRUE,TRUE,24,24,2025/26,15
syndromic,ARI incidence,2026-02-18,10,TRUE,TRUE,24,24,2025/26,11
syndromic,ARI incidence,2026-02-25,9,TRUE,TRUE,24,24,2025/26,10
syndromic,ARI incidence,2026-03-04,10,TRUE,TRUE,24,23,2025/26,11
syndromic,ARI incidence,2026-03-11,9,TRUE,TRUE,24,24,2025/26,10
syndromic,ARI incidence,2026-03-18,13,TRUE,TRUE,24,24,2025/26,14
syndromic,ARI incidence,2026-03-25,13,TRUE,TRUE,24,24,2025/26,14
syndromic,ARI incidence,2026-04-01,13,TRUE,TRUE,24,24,2025/26,14
syndromic,ARI incidence,2026-04-08,6,TRUE,TRUE,24,24,2025/26,7
syndromic,ARI incidence,2026-04-15,11,TRUE,TRUE,22,22,2025/26,12
syndromic,ARI incidence,2026-04-22,11,TRUE,TRUE,22,22,2025/26,12
syndromic,ARI incidence,2026-04-29,9,TRUE,TRUE,22,22,2025/26,10
syndromic,ARI incidence,2026-05-06,10,TRUE,TRUE,21,21,2025/26,11
syndromic,ARI incidence,2026-05-13,8,TRUE,TRUE,22,22,2025/26,9
syndromic,ARI incidence,2026-05-20,3,TRUE,TRUE,22,22,2025/26,4
