hub,indicator,model,role,origin_date,season
syndromic,ARI incidence,Chronos-Chronos2,model,2026-02-11,2025/26
syndromic,ARI incidence,Chronos-Chronos2,model,2026-02-18,2025/26
syndromic,ARI incidence,Chronos-Chronos2,model,2026-02-25,2025/26
syndromic,ARI incidence,Chronos-Chronos2,model,2026-03-04,2025/26
syndromic,ARI incidence,Chronos-Chronos2,model,2026-03-11,2025/26
syndromic,ARI incidence,Chronos-Chronos2,model,2026-03-18,2025/26
syndromic,ARI incidence,Chronos-Chronos2,model,2026-03-25,2025/26
syndromic,ARI incidence,Chronos-Chronos2,model,2026-04-01,2025/26
syndromic,ARI incidence,Chronos-Chronos2,model,2026-04-08,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2024-10-23,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2024-10-30,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2024-11-06,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2024-11-13,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2024-11-20,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2024-11-27,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2024-12-04,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2024-12-11,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2024-12-18,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2024-12-25,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-01-01,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-01-08,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-01-15,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-01-22,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-01-29,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-02-05,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-02-12,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-02-19,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-02-26,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-03-05,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-03-12,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-03-19,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-03-26,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-04-02,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-04-09,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-04-16,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-04-23,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-04-30,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-05-07,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-05-14,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-05-21,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-05-28,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-06-04,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-06-11,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-06-18,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-06-25,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-07-02,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-07-09,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-07-16,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-07-23,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-07-30,2024/25
syndromic,ARI incidence,ECDC-SARIMA,model,2025-08-06,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-08-13,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-08-20,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-08-27,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-09-03,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-09-10,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-09-17,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-09-24,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-10-01,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-10-08,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-10-15,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-10-22,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-10-29,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-11-05,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-11-12,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-11-19,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-11-26,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-12-03,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-12-10,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-12-17,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-12-24,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2025-12-31,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-01-07,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-01-14,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-01-28,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-02-04,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-02-11,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-02-18,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-02-25,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-03-04,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-03-11,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-03-18,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-03-25,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-04-01,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-04-08,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-04-15,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-04-22,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-04-29,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-05-06,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-05-13,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-05-20,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-05-27,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-06-03,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-06-10,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-06-17,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-07-01,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-07-08,2025/26
syndromic,ARI incidence,ECDC-SARIMA,model,2026-07-15,2025/26
syndromic,ARI incidence,ECDC-soca_simplex,model,2024-10-23,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2024-10-30,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2024-11-06,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2024-11-13,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2024-11-20,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2024-11-27,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2024-12-04,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2024-12-11,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2024-12-18,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2024-12-25,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-01-01,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-01-08,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-01-15,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-01-22,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-01-29,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-02-05,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-02-12,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-02-19,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-02-26,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-03-05,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-03-12,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-03-19,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-03-26,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-04-02,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-04-09,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-04-16,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-04-23,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-04-30,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-05-07,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-05-14,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-05-21,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-05-28,2024/25
syndromic,ARI incidence,ECDC-soca_simplex,model,2025-06-04,2024/25
